catalog_id, ISBN
ENGL-355, 9780822202035
ENGL-355, 9780820321042
ENGL-355, 9781400032716
ENGL-355, 9780743279789
ENGL-355, 9781416549017
ENGL-355, 9780307474841
ENGL-355, 9780061743528
ENGL-355, 9780807073315
ENGL-355, 9780307740915
ENGL-355, 9780743236720
ENGL-355, 9781439164655
ENGL-401, 9780226472034
ENGL-401, 9780393972856
ENGL-401, 9780312415204
ENGL-414, 9780141439846
ENGL-414, 9780141439662
ENGL-414, 9780743477123
ENGL-414, 9780141439556
ENGL-414, 9780451531490
ENGL-468, 9780316184137
ENGL-468, 9780674250703
ENGL-468, 9780393974966
ENGL-492, 9780307277602
ENGL-492, 9781555975081
ENGL-494, 9780691014050
ENGL-494, 9781882295555
ENGL-494, 9780374530969
ENGL-494, 9781555975845
ENGL-494, 9780547571607
ENGL-495, 9781400030651
ENGL-495, 9780812976533
ENGL-495, 9780812979657
ENGL-498, 9780226065663
ENGL-801, 9780226472034
ENGL-801, 9780393972856
ENGL-801, 9780312415204
ENGL-814, 9780141439846
ENGL-814, 9780141439662
ENGL-814, 9780743477123
ENGL-814, 9780141439556
ENGL-814, 9780451531490
ENGL-868, 9780316184137
ENGL-868, 9780674250703
ENGL-868, 9780393974966
