course,ISBN,title,author
FYSM-146,9780393935844,They Say / I Say,"Gerald Graff, Cathy Birkenstein"
FYSM-146,9780142424179,The Fault in Our Stars,John Green
FYSM-158,9780870234354,Foreign Devils on the Silk Road,Peter Hopkirk
FYSM-158,9780609809648,Genghis Khan and the Making of the Modern World,Jack Weatherford
FYSM-158,9780195159318,The Silk Road: A New History,Valerie Hansen
FYSM-161,9780684859378,Ancient Encounters: Kennewick Man and the First Americans,James C. Chatters
FYSM-161,9780226036281,Bright Earth: Art and the Invention of Color,Philip Ball
FYSM-161,9780804749633,"Maps, Myths, and Men: The Story of the Vinland Map",Kirsten Seaver
FYSM-164,9780446671828,Emergence: Labeled Autistic,"Temple Grandin, Margaret M. Scariano"
FYSM-164,9781400032716,The Curious Incident of the Dog in the Night-Time,Mark Haddon
FYSM-164,9781416549017,Born On A Blue Day: Inside the Extraordinary Mind of an Autistic Savant,Daniel Tammet
FYSM-164,9780061136672,"Boy Alone: A Brother's Memoir",Karl Taro Greenfeld
FYSM-164,9780312601430,"A Writer's Reference","Diana Hacker, Nancy Sommers"
FYSM-164,9780415884990,Autism,Stuart Murray
FYSM-164,9780812994865,The Reason I Jump: The Inner Voice of a Thirteen-Year-Old Boy with Autism,Naoki Higashida
FYSM-164,9781439194157,"Carly's Voice: Breaking Through Autism","Arthur Fleischmann, Carly Fleischmann"
FYSM-164,9781477414422,Movement: A Short Story about Autism in the Future,Nancy Fulda
FYSM-164,9781439164693,Love Anthony,Lisa Genova
FYSM-164,9781931282826,A Rock and A Hard Place,Anne Sutcliffe
FYSM-174,9780547520230,"How to Cool the Planet: Geoengineering and the Audacious Quest to Fix Earth's Climate",Jeff Goodell
FYSM-174,9780521173155,Introduction to Modern Climate Change,Professor Andrew Dessler
FYSM-174,9780300189773,"The Climate Casino: Risk, Uncertainty, and Economics for a Warming World",William D. Nordhaus
FYSM-179,9780805061765,"A Gentle Madness: Bibliophiles, Bibliomanes, and the Eternal Passion for Books",Nicholas A. Basbanes
FYSM-179,9780670026470,"The Bookman's Tale",Charlie Lovett
FYSM-179,9781592408177,The Map Thief,Michael Blanding
FYSM-181,9780743235655,Shout!: The Beatles in Their Generation,Philip Norman
FYSM-181,9781556527333,"Revolution in the Head: The Beatles' Records and the Sixties",Ian MacDonald
FYSM-181,9780714859460,The Beatles: From the Cavern to the Rooftop,Allan Kozinn
FYSM-185,9780394758282,The Big Sleep,Raymond Chandler
FYSM-185,9780679722649,The Maltese Falcon,Dashiell Hammett
FYSM-185,9780679720409,A Rage in Harlem,Chester Himes
FYSM-185,9780440234760,Bitter Medicine,Sara Paretsky
FYSM-185,9780312353810,A is for Alibi,Sue Grafton
FYSM-190,9780140092332,Sweetness and Power: The Place of Sugar in Modern History,Sidney W. Mintz
FYSM-190,9780826318732,Que vivan los tamales!: Food and the Making of Mexican Identity,Jeffrey M. Pilcher
FYSM-190,9780275980924,The Columbian Exchange: Biological and Cultural Consequences of 1492,Alfred W. Crosby Jr.
FYSM-190,9780801476327,"Sacred Gifts, Profane Pleasures: A History of Tobacco and Chocolate in the Atlantic World",Marcy Norton
FYSM-190,9780465018369,Uncommon Grounds: The History of Coffee and How It Transformed Our World,Mark Pendergrast
FYSM-190,9780674283961,The Mortal Sea: Fishing the Atlantic in the Age of Sail,W. Jeffrey Bolster
FYSM-190,9780857854131,The Food History Reader: Primary Sources,Ken Albala
FYSM-195,9780684813219,Achilles in Vietnam: Combat Trauma and the Undoing of Character,Jonathan Shay
FYSM-195,9780415974103,Critical Theory Today: A User-Friendly Guide,Lois Tyson
FYSM-195,9780199925865,The Iliad,Homer
FYSM-195,9780199760275,The Trojan War: A Very Short Introduction,Eric H. Cline
FYSM-199,9780801489204,"Rum and Axes: The Rise of a Connecticut Merchant Family, 1795-1850", Janet Siskind
FYSM-199,9780385721493,The Ordeal of Elizabeth Marsh: A Woman in World History,Linda Colley
FYSM-199,9780300136050,Oceans of Wine: Madeira and the Emergence of American Trade and Taste,David Hancock
FYSM-204,9780679721109,Madness and Civilization: A History of Insanity in the Age of Reason,Michel Foucault
FYSM-204,9780156628709,Mrs. Dalloway,Virginia Woolf
FYSM-204,9780486298573,The Yellow Wallpaper and Other Stories,Charlotte Perkins Gilman
FYSM-204,9780316290234,The Collector,John Fowles
FYSM-204,9780451526922,Hamlet,William Shakespeare
FYSM-204,9780451527714,Frankenstein: Or the Modern Prometheus,Mary Shelley
FYSM-204,9780143039976,We Have Always Lived in the Castle,Shirley Jackson
FYSM-204,9780199536979,Sherlock Holmes: Selected Stories,Arthur Conan Doyle
FYSM-204,9781598530568,Edgar Allan Poe: Selected Tales,Diane Johnson (Editor)
FYSM-204,9780141441351,The Turn of the Screw,Henry James
FYSM-204,9780393932348,Alice in Wonderland,Lewis Carroll
FYSM-209,9780805211061,The Castle,Franz Kafka
FYSM-209,9781590170571,The Invention of Morel,Adolfo Bioy Casares
FYSM-209,9780062290700,"The Question Concerning Technology, and Other Essays",Martin Heidegger
FYSM-209,9780939682065,The Society of the Spectacle,Guy Debord
FYSM-212,9780312425791,"Can't Stop Won't Stop: A History of the Hip-Hop Generation",Jeff Chang
FYSM-215,9781118615799,Heart of Mathematics,"Edward B. Burger, Michael Starbird"
FYSM-219,9780671792251,Class: A Guide Through the American Status System,Paul Fussell
FYSM-219,9780674034945,Creating a Class: College Admissions and the Education of Elites,Mitchell L. Stevens
FYSM-219,9781884519017,Occupy,Noam Chomsky
FYSM-219,9780691156231,"Privilege: The Making of an Adolescent Elite at St. Paul's School",Shamus Rahman Khan
FYSM-219,9780143124061,Plutocrats: The Rise of the New Global Super-Rich and the Fall of Everyone Else,Chrystia Freeland
FYSM-219,9780812983630,The Divide: American Injustice in the Age of the Wealth Gap,Matt Taibbi
FYSM-233,9780745649665,Race: A Philosophical Introduction,Paul C. Taylor
FYSM-237,9780679746140,Virtually Normal,Andrew Sullivan
FYSM-237,9780465083619,Why Are All the Black Kids Sitting Together in the Cafeteria,Beverly Daniel Tatum
FYSM-237,9781592133802,Equal Play: Title IX and Social Change,"Nancy Hogshead-Makar, Andrew Zimbalist"
FYSM-237,9780470491409,"Microaggressions in Everyday Life: Race, Gender, and Sexual Orientation",Derald Wing Sue
FYSM-237,9780804170390,The Laramie Project and The Laramie Project: Ten Years Later,Moises Kaufman
FYSM-237,9780375727191,The Laramie Project,Moises Kaufman
FYSM-242,9780140154030,The Eyes on the Prize Civil Rights Reader,"Clayborne Carson, David J. Garrow, Gerald Gill, Vincent Harding, Darlene Clark Hine (Editors)"
FYSM-242,9780878054749,The River of No Return: The Autobiography of a Black Militant and the Life and Death of SNCC,"Cleveland Sellers, Robert Terrell"
FYSM-242,9780553380019,I Know Why the Caged Bird Sings,Maya Angelou
FYSM-242,9780156007085,Walking with the Wind: A Memoir of the Movement,"John Lewis, Michael D'Orso"
FYSM-242,9780789206565,"The Civil Rights Movement: A Photographic History, 1954-68",Steven Kasher
FYSM-242,9780870206788,Risking Everything: A Freedom Summer Reader,Michael Edmonds
FYSM-242,9781938890024,Letters from Mississippi: Reports from Civil Rights Volunteers & Poetry of the 1964 Freedom Summer,Elizabeth Martínez (Editor)
GDST-121,9780060786847,HarperCollins Study Bible,Society of Biblical Literature
GDST-121,9780199757534,The New Testament: A Historical Introduction to the Early Christian Writings,Bart D. Ehrman
GDST-121,9780691140124,"The Book of 'Genesis': A Biography",Ronald Hendel
GDST-121,9780192854513,Paul: A Very Short Introduction,E. P. Sanders
GDST-211,9780872204201,Discourse on Method and Meditations on First Philosophy,Rene Descartes
GDST-211,9780801485749,Four Texts on Socrates,"Plato, Aristophanes"
GDST-211,9780375757990,The Basic Works of Aristotle,Richard McKeon (Editor)
GDST-211,9780375757334,Basic Writings of Kant,Allen W. Wood (Editor)
GDST-211,9780375759895,Basic Writings of Existentialism,Gordon Marino
GDST-211,9781590171455,War and the Iliad,"Simone Weil, Rachel Bespaloff"
GDST-219,9780872203525,Iliad,Homer
GDST-219,9780872204843,Odyssey,Homer
GDST-219,9780872207318,Aeneid,P. Vergilius Maro
GDST-219,9780872207639,"Four Tragedies: Ajax, Women of Trachis, Electra, Philoctetes",Sophocles
GDST-219,9780195388671,The Complete Euripides: Volume I,"Peter Burian, Alan Shapiro (Editors)"
GDST-219,9780195388718,The Complete Euripides: Volume V,"Peter Burian, Alan Shapiro (Editors)"
GDST-243,9780553210163,Hard Times,Charles Dickens
GDST-243,9780553211665,Candide,Voltaire
GDST-243,9780915144433,On Liberty,John Stuart Mill
GDST-243,9780140442014,The Social Contract,Jean-Jacques Rousseau
GDST-243,9780385092104,The Birth of Tragedy & The Genealogy of Morals,Friedrich Nietzsche
GDST-243,9780553214062,The Communist Manifesto,"Karl Marx, Friedrich Engels"
GDST-243,9780684826806,Survival In Auschwitz,Primo Levi
GDST-243,9780451529695,Fathers and Sons,Ivan Turgenev
GDST-243,9780449911495,All Quiet on the Western Front,Erich Maria Remarque
GDST-243,9781416540267,Darkness at Noon,Arthur Koestler
GDST-243,9780073106922,A History of the Modern World,"R. R. Palmer, Joel Colton,Lloyd Kramer"
GDST-253,9780385031141,"Goethe's Faust",Johann Wolfgang Von Goethe
GDST-253,9780140437874,Heartbreak House,George Bernard Shaw
GDST-253,9780553211665,Candide,Voltaire
GDST-253,9780679722069,Death in Venice: And Seven Other Stories,Thomas Mann
GDST-253,9780679734505,Crime and Punishment,Fyodor Dostoevsky
GDST-253,9780486281223,The Marriage of Heaven and Hell: A Facsimile in Full Color,William Blake
GDST-253,9780684826806,Survival In Auschwitz,Primo Levi
GDST-253,9780472084104,"The History of Mary Prince, A West Indian Slave",Moira Ferguson
GDST-253,9780393975604,Hard Times,Charles Dickens
GDST-253,9780141439471,Frankenstein,Mary Shelley
GDST-253,9780486426860,Peer Gynt,Henrik Ibsen
GDST-253,9780449911495,All Quiet on the Western Front,Erich Maria Remarque
GDST-253,9780451530226,"Four Major Plays, Volume I",Henrik Ibsen
GDST-253,9780199535569,Pride and Prejudice,Jane Austen
GDST-253,9780199583027,The Sorrows of Young Werther,Johann Wolfgang von Goethe
GDST-253,9780394703695,The Birth of Tragedy and The Case of Wagner,Friedrich Nietzsche
GREK-102,9780300167726,Learn to Read Greek: Part 2,"Andrew Keller, Stephanie Russell"
GRMN-201,9781111699086,Bundle: Stationen,"Prisca Augustyn, Nikolaus Euba"
HEBR-101,9781584654599,Brandeis Modern Hebrew,"Vardit Ringvald, Bonit Porath,Yaron Peleg,Esther Shorr"
HISP-201,9781259278945,Punto y Aparte,"Sharon Foerster, Anne Lambright"
HISP-221,9780205696758,Spanish Composition Through Literature ,"Cándido Ayllón, Paul C. Smith, Antonio Morillo"
HISP-221,9781400034956,Crónica de una muerte anunciada,Gabriel García Márquez
HISP-224,9780470633991,Conversaciones escritas: Lectura y redaccin en contexto,Kim Potowski
HISP-261,9788437608518,Naufragios,Álvar Núñez Cabeza de Vaca
HISP-261,9788420635873,Los cuatro viajes. Testamento,Cristóbal Colón
HISP-261,9788437603315,Diálogo de la Lengua,Juan de Valdés
HISP-261,9781589770577,Novelas ejemplares y amorosas and Desengaños amorosos,María de Zayas y Sotomayor
HISP-261,9780307475411,Don Quijote de la Mancha,Miguel de Cervantes Saavedra
HISP-261,9780307475749,Lazarillo de Tormes,Anonymous
HISP-263,9788437608518,Naufragios,Álvar Núñez Cabeza de Vaca
HISP-263,9781111837921,Voces de Hispanoamerica,"Raquel Chang-Rodriguez, Malva E. Filer"
HISP-335,9789707704718,La Gruta del Toscano,Ignacio Padilla
HISP-335,9788478889402,Budapest (Spanish Edition),Chico Buarque
HISP-335,9788433971906,Una luna,Martin Caparros
HISP-335,9789871156511,Lord,"Joao Gilberto Noll, Fabian Lebenglik (Editors)"
HISP-335,9789876281232,Nueve Noches,Carvalho Bernardo
HISP-335,9789500515696,Stella Manhattan,Silviano Santiago
